000: Acc-tr:  24.61, Acc-val:  36.67, L-tr: 2.0190, L-val: 1.6832
Epoch 0 Finished.  Time per Epoch:  15.36 s 
001: Acc-tr:  46.29, Acc-val:  54.01, L-tr: 1.4751, L-val: 1.3122
Epoch 1 Finished.  Time per Epoch:  14.70 s 
002: Acc-tr:  59.15, Acc-val:  61.19, L-tr: 1.1642, L-val: 1.0990
Epoch 2 Finished.  Time per Epoch:  14.47 s 
003: Acc-tr:  65.52, Acc-val:  65.28, L-tr: 0.9811, L-val: 0.9959
Epoch 3 Finished.  Time per Epoch:  14.37 s 
004: Acc-tr:  69.13, Acc-val:  69.95, L-tr: 0.8865, L-val: 0.8901
Epoch 4 Finished.  Time per Epoch:  14.32 s 
005: Acc-tr:  72.72, Acc-val:  71.01, L-tr: 0.7879, L-val: 0.8629
Epoch 5 Finished.  Time per Epoch:  14.29 s 
006: Acc-tr:  74.49, Acc-val:  72.55, L-tr: 0.7381, L-val: 0.8138
Epoch 6 Finished.  Time per Epoch:  14.27 s 
007: Acc-tr:  76.36, Acc-val:  74.40, L-tr: 0.6869, L-val: 0.7534
Epoch 7 Finished.  Time per Epoch:  14.24 s 
008: Acc-tr:  77.37, Acc-val:  73.34, L-tr: 0.6568, L-val: 0.8033
Epoch 8 Finished.  Time per Epoch:  14.23 s 
009: Acc-tr:  78.76, Acc-val:  74.97, L-tr: 0.6134, L-val: 0.7362
Epoch 9 Finished.  Time per Epoch:  14.25 s 
010: Acc-tr:  80.14, Acc-val:  75.52, L-tr: 0.5765, L-val: 0.7516
Epoch 10 Finished.  Time per Epoch:  14.27 s 
011: Acc-tr:  80.94, Acc-val:  75.50, L-tr: 0.5476, L-val: 0.7338
Epoch 11 Finished.  Time per Epoch:  14.27 s 
012: Acc-tr:  82.57, Acc-val:  77.32, L-tr: 0.4988, L-val: 0.7126
Epoch 12 Finished.  Time per Epoch:  14.26 s 
013: Acc-tr:  82.09, Acc-val:  77.12, L-tr: 0.5149, L-val: 0.7328
Epoch 13 Finished.  Time per Epoch:  14.24 s 
014: Acc-tr:  83.29, Acc-val:  75.53, L-tr: 0.4789, L-val: 0.7712
Epoch 14 Finished.  Time per Epoch:  14.24 s 
015: Acc-tr:  83.95, Acc-val:  76.56, L-tr: 0.4612, L-val: 0.7704
Epoch 15 Finished.  Time per Epoch:  14.25 s 
016: Acc-tr:  84.48, Acc-val:  75.73, L-tr: 0.4482, L-val: 0.7799
Epoch 16 Finished.  Time per Epoch:  14.25 s 
017: Acc-tr:  85.53, Acc-val:  76.50, L-tr: 0.4186, L-val: 0.7966
Epoch 17 Finished.  Time per Epoch:  14.25 s 
018: Acc-tr:  86.37, Acc-val:  76.46, L-tr: 0.3937, L-val: 0.8015
Epoch 18 Finished.  Time per Epoch:  14.24 s 
019: Acc-tr:  86.50, Acc-val:  77.01, L-tr: 0.3914, L-val: 0.7798
Epoch 19 Finished.  Time per Epoch:  14.24 s 
020: Acc-tr:  87.39, Acc-val:  75.77, L-tr: 0.3658, L-val: 0.8316
Epoch 20 Finished.  Time per Epoch:  14.23 s 
021: Acc-tr:  87.78, Acc-val:  75.77, L-tr: 0.3527, L-val: 0.8332
Epoch 21 Finished.  Time per Epoch:  14.22 s 
022: Acc-tr:  87.44, Acc-val:  76.90, L-tr: 0.3586, L-val: 0.8492
Epoch 22 Finished.  Time per Epoch:  14.21 s 
023: Acc-tr:  88.25, Acc-val:  76.76, L-tr: 0.3395, L-val: 0.8222
Epoch 23 Finished.  Time per Epoch:  14.21 s 
