000: Acc-tr:  38.41, Acc-val:  39.55, L-tr: 1.6940, L-val: 1.8065
Epoch 0 Finished.  Time per Epoch:  24.97 s 
001: Acc-tr:  58.81, Acc-val:  59.78, L-tr: 1.1454, L-val: 1.1483
Epoch 1 Finished.  Time per Epoch:  23.58 s 
002: Acc-tr:  66.97, Acc-val:  62.54, L-tr: 0.9205, L-val: 1.0832
Epoch 2 Finished.  Time per Epoch:  23.26 s 
003: Acc-tr:  72.28, Acc-val:  69.76, L-tr: 0.7902, L-val: 0.8655
Epoch 3 Finished.  Time per Epoch:  23.05 s 
004: Acc-tr:  75.63, Acc-val:  71.41, L-tr: 0.6900, L-val: 0.8287
Epoch 4 Finished.  Time per Epoch:  22.96 s 
005: Acc-tr:  78.18, Acc-val:  71.85, L-tr: 0.6154, L-val: 0.8385
Epoch 5 Finished.  Time per Epoch:  22.88 s 
006: Acc-tr:  80.00, Acc-val:  73.37, L-tr: 0.5659, L-val: 0.7782
Epoch 6 Finished.  Time per Epoch:  22.83 s 
007: Acc-tr:  82.11, Acc-val:  72.50, L-tr: 0.5094, L-val: 0.8329
Epoch 7 Finished.  Time per Epoch:  22.76 s 
008: Acc-tr:  83.48, Acc-val:  75.57, L-tr: 0.4727, L-val: 0.7556
Epoch 8 Finished.  Time per Epoch:  22.71 s 
009: Acc-tr:  84.86, Acc-val:  78.05, L-tr: 0.4279, L-val: 0.6410
Epoch 9 Finished.  Time per Epoch:  22.67 s 
010: Acc-tr:  86.21, Acc-val:  79.39, L-tr: 0.3947, L-val: 0.6124
Epoch 10 Finished.  Time per Epoch:  22.66 s 
011: Acc-tr:  87.43, Acc-val:  76.18, L-tr: 0.3554, L-val: 0.7393
Epoch 11 Finished.  Time per Epoch:  22.67 s 
012: Acc-tr:  88.32, Acc-val:  70.65, L-tr: 0.3295, L-val: 0.9790
Epoch 12 Finished.  Time per Epoch:  22.66 s 
013: Acc-tr:  88.75, Acc-val:  77.19, L-tr: 0.3177, L-val: 0.7281
Epoch 13 Finished.  Time per Epoch:  22.64 s 
014: Acc-tr:  89.92, Acc-val:  76.45, L-tr: 0.2838, L-val: 0.7731
Epoch 14 Finished.  Time per Epoch:  22.66 s 
015: Acc-tr:  90.80, Acc-val:  77.83, L-tr: 0.2612, L-val: 0.7980
Epoch 15 Finished.  Time per Epoch:  22.63 s 
016: Acc-tr:  91.03, Acc-val:  80.88, L-tr: 0.2505, L-val: 0.6217
Epoch 16 Finished.  Time per Epoch:  22.62 s 
017: Acc-tr:  92.23, Acc-val:  77.59, L-tr: 0.2223, L-val: 0.7834
Epoch 17 Finished.  Time per Epoch:  22.62 s 
018: Acc-tr:  92.53, Acc-val:  79.84, L-tr: 0.2101, L-val: 0.7142
Epoch 18 Finished.  Time per Epoch:  22.63 s 
019: Acc-tr:  92.94, Acc-val:  79.88, L-tr: 0.2006, L-val: 0.6724
Epoch 19 Finished.  Time per Epoch:  22.60 s 
020: Acc-tr:  93.25, Acc-val:  78.00, L-tr: 0.1904, L-val: 0.8058
Epoch 20 Finished.  Time per Epoch:  22.60 s 
021: Acc-tr:  93.42, Acc-val:  79.36, L-tr: 0.1847, L-val: 0.8412
