000: Acc-tr:  31.44, Acc-val:  34.96, L-tr: 1.8460, L-val: 1.8090
Epoch 0 Finished.  Time per Epoch:  35.44 s 
001: Acc-tr:  47.89, Acc-val:  35.26, L-tr: 1.4322, L-val: 1.9019
Epoch 1 Finished.  Time per Epoch:  35.46 s 
002: Acc-tr:  56.98, Acc-val:  52.98, L-tr: 1.1815, L-val: 1.3081
Epoch 2 Finished.  Time per Epoch:  35.27 s 
003: Acc-tr:  63.57, Acc-val:  57.62, L-tr: 1.0185, L-val: 1.1966
Epoch 3 Finished.  Time per Epoch:  35.23 s 
004: Acc-tr:  67.24, Acc-val:  63.91, L-tr: 0.9106, L-val: 1.0333
Epoch 4 Finished.  Time per Epoch:  35.37 s 
005: Acc-tr:  70.95, Acc-val:  66.66, L-tr: 0.8167, L-val: 0.9823
Epoch 5 Finished.  Time per Epoch:  35.43 s 
006: Acc-tr:  73.08, Acc-val:  66.81, L-tr: 0.7637, L-val: 0.9571
Epoch 6 Finished.  Time per Epoch:  35.44 s 
007: Acc-tr:  74.90, Acc-val:  71.78, L-tr: 0.7095, L-val: 0.8101
Epoch 7 Finished.  Time per Epoch:  35.45 s 
008: Acc-tr:  76.53, Acc-val:  70.73, L-tr: 0.6706, L-val: 0.8518
Epoch 8 Finished.  Time per Epoch:  35.42 s 
009: Acc-tr:  78.35, Acc-val:  70.89, L-tr: 0.6178, L-val: 0.8614
Epoch 9 Finished.  Time per Epoch:  35.43 s 
010: Acc-tr:  79.14, Acc-val:  73.62, L-tr: 0.5964, L-val: 0.8036
Epoch 10 Finished.  Time per Epoch:  35.43 s 
011: Acc-tr:  79.81, Acc-val:  72.63, L-tr: 0.5761, L-val: 0.8149
Epoch 11 Finished.  Time per Epoch:  35.41 s 
012: Acc-tr:  80.72, Acc-val:  71.70, L-tr: 0.5494, L-val: 0.8339
Epoch 12 Finished.  Time per Epoch:  35.37 s 
013: Acc-tr:  81.43, Acc-val:  76.00, L-tr: 0.5262, L-val: 0.7031
Epoch 13 Finished.  Time per Epoch:  35.40 s 
014: Acc-tr:  82.31, Acc-val:  74.38, L-tr: 0.5085, L-val: 0.7830
Epoch 14 Finished.  Time per Epoch:  35.46 s 
015: Acc-tr:  82.84, Acc-val:  76.31, L-tr: 0.4896, L-val: 0.6996
Epoch 15 Finished.  Time per Epoch:  35.49 s 
016: Acc-tr:  83.38, Acc-val:  77.48, L-tr: 0.4755, L-val: 0.6796
Epoch 16 Finished.  Time per Epoch:  35.51 s 
017: Acc-tr:  83.61, Acc-val:  78.52, L-tr: 0.4603, L-val: 0.6347
Epoch 17 Finished.  Time per Epoch:  35.58 s 
018: Acc-tr:  84.18, Acc-val:  76.46, L-tr: 0.4538, L-val: 0.7006
Epoch 18 Finished.  Time per Epoch:  35.64 s 
019: Acc-tr:  84.96, Acc-val:  76.28, L-tr: 0.4295, L-val: 0.7204
Epoch 19 Finished.  Time per Epoch:  35.70 s 
020: Acc-tr:  85.35, Acc-val:  76.87, L-tr: 0.4204, L-val: 0.7040
Epoch 20 Finished.  Time per Epoch:  35.72 s 
021: Acc-tr:  85.44, Acc-val:  78.59, L-tr: 0.4141, L-val: 0.6452
Epoch 21 Finished.  Time per Epoch:  35.77 s 
022: Acc-tr:  85.94, Acc-val:  80.62, L-tr: 0.3944, L-val: 0.5745
Epoch 22 Finished.  Time per Epoch:  35.82 s 
023: Acc-tr:  86.24, Acc-val:  78.39, L-tr: 0.3925, L-val: 0.6648
Epoch 23 Finished.  Time per Epoch:  35.87 s 
024: Acc-tr:  86.43, Acc-val:  79.36, L-tr: 0.3873, L-val: 0.6187
Epoch 24 Finished.  Time per Epoch:  35.93 s 
025: Acc-tr:  86.84, Acc-val:  76.37, L-tr: 0.3735, L-val: 0.7775
Epoch 25 Finished.  Time per Epoch:  35.97 s 
026: Acc-tr:  87.42, Acc-val:  80.29, L-tr: 0.3634, L-val: 0.5944
Epoch 26 Finished.  Time per Epoch:  36.03 s 
027: Acc-tr:  87.72, Acc-val:  80.98, L-tr: 0.3512, L-val: 0.5772
Epoch 27 Finished.  Time per Epoch:  36.05 s 
028: Acc-tr:  87.73, Acc-val:  77.94, L-tr: 0.3519, L-val: 0.6791
Epoch 28 Finished.  Time per Epoch:  36.05 s 
029: Acc-tr:  88.08, Acc-val:  80.16, L-tr: 0.3425, L-val: 0.6175
Epoch 29 Finished.  Time per Epoch:  36.06 s 
030: Acc-tr:  87.94, Acc-val:  80.70, L-tr: 0.3419, L-val: 0.6072
Epoch 30 Finished.  Time per Epoch:  36.08 s 
031: Acc-tr:  88.27, Acc-val:  79.97, L-tr: 0.3318, L-val: 0.6306
Epoch 31 Finished.  Time per Epoch:  36.07 s 
032: Acc-tr:  88.83, Acc-val:  80.28, L-tr: 0.3212, L-val: 0.6285
Epoch 32 Finished.  Time per Epoch:  36.09 s 
033: Acc-tr:  88.89, Acc-val:  80.61, L-tr: 0.3177, L-val: 0.5907
Epoch 33 Finished.  Time per Epoch:  36.11 s 
034: Acc-tr:  89.06, Acc-val:  79.86, L-tr: 0.3099, L-val: 0.6437
Epoch 34 Finished.  Time per Epoch:  36.11 s 
035: Acc-tr:  89.15, Acc-val:  81.81, L-tr: 0.3111, L-val: 0.5758
Epoch 35 Finished.  Time per Epoch:  36.12 s 
036: Acc-tr:  89.40, Acc-val:  81.37, L-tr: 0.3043, L-val: 0.5755
Epoch 36 Finished.  Time per Epoch:  36.17 s 
037: Acc-tr:  89.66, Acc-val:  81.41, L-tr: 0.2928, L-val: 0.5833
Epoch 37 Finished.  Time per Epoch:  36.20 s 
038: Acc-tr:  89.86, Acc-val:  80.58, L-tr: 0.2898, L-val: 0.6112
Epoch 38 Finished.  Time per Epoch:  36.24 s 
039: Acc-tr:  89.97, Acc-val:  79.54, L-tr: 0.2899, L-val: 0.6530
Epoch 39 Finished.  Time per Epoch:  36.28 s 
040: Acc-tr:  89.99, Acc-val:  78.55, L-tr: 0.2836, L-val: 0.6921
Epoch 40 Finished.  Time per Epoch:  36.28 s 
