INFO:root:000: Acc-tr:  10.08, Acc-val:   9.97, L-tr: 2.3034, L-val: 2.3032
INFO:root:001: Acc-tr:  10.29, Acc-val:  10.00, L-tr: 2.3027, L-val: 2.3031
INFO:root:002: Acc-tr:  10.55, Acc-val:  10.00, L-tr: 2.3021, L-val: 2.3033
INFO:root:003: Acc-tr:  10.95, Acc-val:  10.00, L-tr: 2.3015, L-val: 2.3038
INFO:root:004: Acc-tr:  10.99, Acc-val:   7.40, L-tr: 2.3010, L-val: 2.3033
INFO:root:005: Acc-tr:  11.41, Acc-val:   6.31, L-tr: 2.2998, L-val: 2.3041
INFO:root:006: Acc-tr:  11.68, Acc-val:   7.41, L-tr: 2.2990, L-val: 2.3038
INFO:root:007: Acc-tr:  11.95, Acc-val:   8.00, L-tr: 2.2977, L-val: 2.3041
INFO:root:008: Acc-tr:  12.16, Acc-val:   9.84, L-tr: 2.2957, L-val: 2.3035
INFO:root:009: Acc-tr:  12.59, Acc-val:  10.01, L-tr: 2.2937, L-val: 2.3043
INFO:root:010: Acc-tr:  13.00, Acc-val:  10.31, L-tr: 2.2909, L-val: 2.3035
INFO:root:011: Acc-tr:  13.10, Acc-val:   9.73, L-tr: 2.2874, L-val: 2.3039
INFO:root:012: Acc-tr:  13.80, Acc-val:  10.06, L-tr: 2.2830, L-val: 2.3035
INFO:root:013: Acc-tr:  14.47, Acc-val:  13.66, L-tr: 2.2771, L-val: 2.3040
INFO:root:014: Acc-tr:  14.97, Acc-val:  14.02, L-tr: 2.2694, L-val: 2.3048
INFO:root:015: Acc-tr:  16.11, Acc-val:  11.83, L-tr: 2.2582, L-val: 2.3036
INFO:root:016: Acc-tr:  16.81, Acc-val:   9.77, L-tr: 2.2442, L-val: 2.3046
INFO:root:017: Acc-tr:  18.06, Acc-val:  11.23, L-tr: 2.2272, L-val: 2.3045
INFO:root:018: Acc-tr:  19.39, Acc-val:  10.77, L-tr: 2.2006, L-val: 2.3055
INFO:root:019: Acc-tr:  20.85, Acc-val:  10.80, L-tr: 2.1704, L-val: 2.3056
INFO:root:020: Acc-tr:  23.30, Acc-val:  10.74, L-tr: 2.1282, L-val: 2.3041
INFO:root:021: Acc-tr:  25.99, Acc-val:   9.11, L-tr: 2.0742, L-val: 2.3092
INFO:root:022: Acc-tr:  28.88, Acc-val:  12.00, L-tr: 2.0039, L-val: 2.3087
INFO:root:023: Acc-tr:  32.37, Acc-val:  10.27, L-tr: 1.9118, L-val: 2.3095
INFO:root:024: Acc-tr:  37.17, Acc-val:  10.57, L-tr: 1.7944, L-val: 2.3176
INFO:root:025: Acc-tr:  43.91, Acc-val:  10.40, L-tr: 1.6238, L-val: 2.3266
INFO:root:026: Acc-tr:  50.35, Acc-val:  10.05, L-tr: 1.4462, L-val: 2.3192
INFO:root:027: Acc-tr:  57.50, Acc-val:  10.07, L-tr: 1.2422, L-val: 2.3324
INFO:root:028: Acc-tr:  66.04, Acc-val:   9.11, L-tr: 1.0010, L-val: 2.3375
INFO:root:029: Acc-tr:  73.21, Acc-val:  10.48, L-tr: 0.7865, L-val: 2.3450
INFO:root:030: Acc-tr:  79.24, Acc-val:  10.55, L-tr: 0.6191, L-val: 2.3602
INFO:root:031: Acc-tr:  84.08, Acc-val:  10.64, L-tr: 0.4773, L-val: 2.4114
INFO:root:032: Acc-tr:  88.24, Acc-val:  10.33, L-tr: 0.3651, L-val: 2.4288
INFO:root:033: Acc-tr:  90.05, Acc-val:  10.55, L-tr: 0.3041, L-val: 2.4618
INFO:root:034: Acc-tr:  92.69, Acc-val:  10.36, L-tr: 0.2330, L-val: 2.4411
INFO:root:035: Acc-tr:  93.65, Acc-val:  10.81, L-tr: 0.2001, L-val: 2.4294
INFO:root:036: Acc-tr:  95.00, Acc-val:  10.20, L-tr: 0.1579, L-val: 2.4659
INFO:root:037: Acc-tr:  95.92, Acc-val:  10.44, L-tr: 0.1321, L-val: 2.4992
INFO:root:038: Acc-tr:  96.75, Acc-val:   9.29, L-tr: 0.1067, L-val: 2.5460
INFO:root:039: Acc-tr:  97.07, Acc-val:  11.02, L-tr: 0.0960, L-val: 2.5017
INFO:root:040: Acc-tr:  97.60, Acc-val:  10.05, L-tr: 0.0842, L-val: 2.6245
INFO:root:041: Acc-tr:  98.39, Acc-val:  10.90, L-tr: 0.0604, L-val: 2.5388
INFO:root:042: Acc-tr:  98.34, Acc-val:  10.02, L-tr: 0.0590, L-val: 2.6013
INFO:root:043: Acc-tr:  98.72, Acc-val:   9.92, L-tr: 0.0488, L-val: 2.6392
INFO:root:044: Acc-tr:  99.25, Acc-val:  10.51, L-tr: 0.0316, L-val: 2.8724
INFO:root:045: Acc-tr:  99.47, Acc-val:   9.36, L-tr: 0.0235, L-val: 2.6481
INFO:root:046: Acc-tr:  99.60, Acc-val:  10.38, L-tr: 0.0188, L-val: 2.7319
INFO:root:047: Acc-tr:  99.73, Acc-val:  10.26, L-tr: 0.0148, L-val: 2.6154
INFO:root:048: Acc-tr:  99.77, Acc-val:   9.91, L-tr: 0.0112, L-val: 2.7615
INFO:root:049: Acc-tr:  99.82, Acc-val:   9.21, L-tr: 0.0095, L-val: 2.6734
INFO:root:050: Acc-tr:  99.90, Acc-val:   9.19, L-tr: 0.0070, L-val: 2.6440
INFO:root:051: Acc-tr:  99.93, Acc-val:   9.26, L-tr: 0.0050, L-val: 2.6907
INFO:root:052: Acc-tr:  99.93, Acc-val:   9.67, L-tr: 0.0042, L-val: 2.6123
INFO:root:053: Acc-tr:  99.93, Acc-val:   9.70, L-tr: 0.0032, L-val: 2.6426
INFO:root:054: Acc-tr:  99.94, Acc-val:   9.21, L-tr: 0.0026, L-val: 2.6590
INFO:root:055: Acc-tr:  99.95, Acc-val:   9.93, L-tr: 0.0020, L-val: 2.6832
INFO:root:056: Acc-tr:  99.96, Acc-val:   9.83, L-tr: 0.0017, L-val: 2.6896
INFO:root:057: Acc-tr:  99.96, Acc-val:   9.56, L-tr: 0.0018, L-val: 2.6788
INFO:root:058: Acc-tr:  99.97, Acc-val:  10.15, L-tr: 0.0015, L-val: 2.7031
INFO:root:059: Acc-tr:  99.96, Acc-val:  10.15, L-tr: 0.0014, L-val: 2.7102
INFO:root:060: Acc-tr:  99.97, Acc-val:  10.28, L-tr: 0.0013, L-val: 2.6800
INFO:root:061: Acc-tr:  99.97, Acc-val:   9.84, L-tr: 0.0011, L-val: 2.7058
INFO:root:062: Acc-tr:  99.97, Acc-val:  10.05, L-tr: 0.0012, L-val: 2.7090
INFO:root:063: Acc-tr:  99.98, Acc-val:  10.24, L-tr: 0.0008, L-val: 2.7019
INFO:root:064: Acc-tr:  99.98, Acc-val:  10.16, L-tr: 0.0007, L-val: 2.7207
INFO:root:065: Acc-tr:  99.99, Acc-val:   9.91, L-tr: 0.0006, L-val: 2.6962
INFO:root:066: Acc-tr:  99.98, Acc-val:  10.16, L-tr: 0.0006, L-val: 2.7145
INFO:root:067: Acc-tr:  99.99, Acc-val:  10.15, L-tr: 0.0005, L-val: 2.6941
INFO:root:068: Acc-tr:  99.99, Acc-val:  10.19, L-tr: 0.0004, L-val: 2.7085
INFO:root:069: Acc-tr:  99.99, Acc-val:  10.11, L-tr: 0.0004, L-val: 2.7100
INFO:root:070: Acc-tr:  99.99, Acc-val:  10.12, L-tr: 0.0004, L-val: 2.7107
INFO:root:071: Acc-tr:  99.99, Acc-val:  10.26, L-tr: 0.0004, L-val: 2.7287
INFO:root:072: Acc-tr:  99.99, Acc-val:  10.18, L-tr: 0.0004, L-val: 2.7143
INFO:root:073: Acc-tr:  99.99, Acc-val:  10.17, L-tr: 0.0004, L-val: 2.7131
