INFO:root:000: Acc-tr:  18.49, Acc-val:  25.20, L-tr: 2.1599, L-val: 1.9790
INFO:root:001: Acc-tr:  25.15, Acc-val:  29.19, L-tr: 1.9671, L-val: 1.9061
INFO:root:002: Acc-tr:  28.28, Acc-val:  32.16, L-tr: 1.9014, L-val: 1.8481
INFO:root:003: Acc-tr:  31.66, Acc-val:  33.09, L-tr: 1.8256, L-val: 1.7765
INFO:root:004: Acc-tr:  35.30, Acc-val:  36.23, L-tr: 1.7400, L-val: 1.7070
INFO:root:005: Acc-tr:  38.95, Acc-val:  38.45, L-tr: 1.6454, L-val: 1.6714
INFO:root:006: Acc-tr:  42.40, Acc-val:  44.02, L-tr: 1.5592, L-val: 1.5273
INFO:root:007: Acc-tr:  45.89, Acc-val:  45.10, L-tr: 1.4710, L-val: 1.4877
INFO:root:008: Acc-tr:  48.03, Acc-val:  46.72, L-tr: 1.4109, L-val: 1.4834
INFO:root:009: Acc-tr:  51.14, Acc-val:  48.51, L-tr: 1.3319, L-val: 1.4153
INFO:root:010: Acc-tr:  53.79, Acc-val:  50.52, L-tr: 1.2545, L-val: 1.3901
INFO:root:011: Acc-tr:  57.14, Acc-val:  48.43, L-tr: 1.1708, L-val: 1.4612
INFO:root:012: Acc-tr:  59.15, Acc-val:  51.54, L-tr: 1.1168, L-val: 1.4071
INFO:root:013: Acc-tr:  61.71, Acc-val:  50.44, L-tr: 1.0409, L-val: 1.4528
INFO:root:014: Acc-tr:  65.10, Acc-val:  49.61, L-tr: 0.9448, L-val: 1.5892
INFO:root:015: Acc-tr:  68.00, Acc-val:  48.01, L-tr: 0.8733, L-val: 1.7044
INFO:root:016: Acc-tr:  69.53, Acc-val:  49.40, L-tr: 0.8231, L-val: 1.5461
INFO:root:017: Acc-tr:  72.38, Acc-val:  47.10, L-tr: 0.7428, L-val: 1.9891
INFO:root:018: Acc-tr:  74.49, Acc-val:  48.22, L-tr: 0.6916, L-val: 1.7807
INFO:root:019: Acc-tr:  76.87, Acc-val:  46.16, L-tr: 0.6270, L-val: 2.2990
INFO:root:020: Acc-tr:  79.32, Acc-val:  47.79, L-tr: 0.5527, L-val: 2.0588
INFO:root:021: Acc-tr:  80.59, Acc-val:  46.68, L-tr: 0.5215, L-val: 2.2800
INFO:root:022: Acc-tr:  83.05, Acc-val:  47.80, L-tr: 0.4638, L-val: 2.3325
INFO:root:023: Acc-tr:  85.16, Acc-val:  48.80, L-tr: 0.4028, L-val: 2.2321
INFO:root:024: Acc-tr:  86.14, Acc-val:  48.12, L-tr: 0.3797, L-val: 2.5217
INFO:root:025: Acc-tr:  88.69, Acc-val:  48.94, L-tr: 0.3113, L-val: 2.7914
INFO:root:026: Acc-tr:  88.71, Acc-val:  47.72, L-tr: 0.3123, L-val: 3.0852
INFO:root:027: Acc-tr:  90.58, Acc-val:  48.23, L-tr: 0.2595, L-val: 2.7710
INFO:root:028: Acc-tr:  90.60, Acc-val:  47.54, L-tr: 0.2577, L-val: 2.8475
INFO:root:029: Acc-tr:  92.11, Acc-val:  48.76, L-tr: 0.2161, L-val: 3.0051
INFO:root:030: Acc-tr:  92.92, Acc-val:  46.17, L-tr: 0.1982, L-val: 3.2095
INFO:root:031: Acc-tr:  93.99, Acc-val:  47.58, L-tr: 0.1686, L-val: 3.6481
INFO:root:032: Acc-tr:  93.68, Acc-val:  48.60, L-tr: 0.1779, L-val: 3.1552
INFO:root:033: Acc-tr:  94.94, Acc-val:  48.85, L-tr: 0.1430, L-val: 3.5453
INFO:root:034: Acc-tr:  94.89, Acc-val:  48.43, L-tr: 0.1455, L-val: 3.4268
INFO:root:035: Acc-tr:  95.63, Acc-val:  49.01, L-tr: 0.1229, L-val: 3.3731
INFO:root:036: Acc-tr:  95.67, Acc-val:  49.88, L-tr: 0.1232, L-val: 3.6583
INFO:root:037: Acc-tr:  96.02, Acc-val:  48.97, L-tr: 0.1166, L-val: 3.6759
INFO:root:038: Acc-tr:  95.95, Acc-val:  50.45, L-tr: 0.1147, L-val: 3.7198
INFO:root:039: Acc-tr:  96.62, Acc-val:  48.78, L-tr: 0.0963, L-val: 4.1805
INFO:root:040: Acc-tr:  96.46, Acc-val:  49.63, L-tr: 0.0997, L-val: 3.8165
INFO:root:041: Acc-tr:  96.90, Acc-val:  49.26, L-tr: 0.0894, L-val: 3.8346
INFO:root:042: Acc-tr:  97.22, Acc-val:  49.65, L-tr: 0.0791, L-val: 4.0184
INFO:root:043: Acc-tr:  98.03, Acc-val:  49.27, L-tr: 0.0583, L-val: 4.1868
INFO:root:044: Acc-tr:  97.48, Acc-val:  49.12, L-tr: 0.0725, L-val: 4.2071
INFO:root:045: Acc-tr:  98.01, Acc-val:  50.17, L-tr: 0.0585, L-val: 4.0562
INFO:root:046: Acc-tr:  98.65, Acc-val:  48.98, L-tr: 0.0410, L-val: 4.3459
INFO:root:047: Acc-tr:  98.20, Acc-val:  48.76, L-tr: 0.0548, L-val: 4.2765
INFO:root:048: Acc-tr:  97.94, Acc-val:  48.91, L-tr: 0.0597, L-val: 4.2966
INFO:root:049: Acc-tr:  98.41, Acc-val:  50.42, L-tr: 0.0487, L-val: 4.6845
INFO:root:050: Acc-tr:  98.79, Acc-val:  50.33, L-tr: 0.0375, L-val: 4.6884
INFO:root:051: Acc-tr:  98.72, Acc-val:  49.56, L-tr: 0.0384, L-val: 4.8784
INFO:root:052: Acc-tr:  98.60, Acc-val:  49.96, L-tr: 0.0402, L-val: 4.9476
INFO:root:053: Acc-tr:  98.51, Acc-val:  49.49, L-tr: 0.0447, L-val: 4.4954
INFO:root:054: Acc-tr:  98.99, Acc-val:  49.36, L-tr: 0.0310, L-val: 4.6930
INFO:root:055: Acc-tr:  98.49, Acc-val:  49.39, L-tr: 0.0441, L-val: 4.2788
INFO:root:056: Acc-tr:  99.11, Acc-val:  50.45, L-tr: 0.0269, L-val: 4.9523
INFO:root:057: Acc-tr:  98.92, Acc-val:  50.40, L-tr: 0.0329, L-val: 4.9168
INFO:root:058: Acc-tr:  99.19, Acc-val:  48.07, L-tr: 0.0253, L-val: 5.1303
INFO:root:059: Acc-tr:  98.46, Acc-val:  50.39, L-tr: 0.0462, L-val: 4.5836
INFO:root:060: Acc-tr:  98.83, Acc-val:  49.86, L-tr: 0.0342, L-val: 4.6486
INFO:root:061: Acc-tr:  99.05, Acc-val:  50.23, L-tr: 0.0298, L-val: 4.6985
INFO:root:062: Acc-tr:  99.17, Acc-val:  50.88, L-tr: 0.0250, L-val: 4.6230
INFO:root:063: Acc-tr:  99.20, Acc-val:  50.15, L-tr: 0.0242, L-val: 5.0429
INFO:root:064: Acc-tr:  99.20, Acc-val:  49.58, L-tr: 0.0243, L-val: 4.8968
INFO:root:065: Acc-tr:  99.44, Acc-val:  49.92, L-tr: 0.0170, L-val: 5.3035
INFO:root:066: Acc-tr:  99.14, Acc-val:  50.53, L-tr: 0.0253, L-val: 4.7275
INFO:root:067: Acc-tr:  99.53, Acc-val:  50.63, L-tr: 0.0151, L-val: 5.1908
INFO:root:068: Acc-tr:  98.75, Acc-val:  49.51, L-tr: 0.0368, L-val: 4.5107
INFO:root:069: Acc-tr:  99.20, Acc-val:  49.44, L-tr: 0.0246, L-val: 5.0888
INFO:root:070: Acc-tr:  99.53, Acc-val:  50.68, L-tr: 0.0151, L-val: 5.0053
INFO:root:071: Acc-tr:  99.63, Acc-val:  51.46, L-tr: 0.0117, L-val: 5.0219
INFO:root:072: Acc-tr:  99.69, Acc-val:  50.42, L-tr: 0.0103, L-val: 5.1437
INFO:root:073: Acc-tr:  99.64, Acc-val:  50.48, L-tr: 0.0116, L-val: 5.4724
INFO:root:074: Acc-tr:  99.86, Acc-val:  50.59, L-tr: 0.0053, L-val: 5.3838
INFO:root:075: Acc-tr:  99.91, Acc-val:  51.65, L-tr: 0.0036, L-val: 5.3634
INFO:root:076: Acc-tr:  99.99, Acc-val:  51.91, L-tr: 0.0011, L-val: 5.3325
INFO:root:077: Acc-tr: 100.00, Acc-val:  51.97, L-tr: 0.0004, L-val: 5.4557
INFO:root:078: Acc-tr: 100.00, Acc-val:  52.06, L-tr: 0.0003, L-val: 5.4630
INFO:root:079: Acc-tr: 100.00, Acc-val:  52.00, L-tr: 0.0002, L-val: 5.4562
INFO:root:080: Acc-tr: 100.00, Acc-val:  52.00, L-tr: 0.0002, L-val: 5.4464
INFO:root:081: Acc-tr: 100.00, Acc-val:  52.03, L-tr: 0.0002, L-val: 5.4414
INFO:root:082: Acc-tr: 100.00, Acc-val:  52.11, L-tr: 0.0002, L-val: 5.4289
