INFO:root:Number of parameters: 4230654
INFO:root:000: Acc-tr:  25.14, Acc-val:  38.72, L-tr: 2.0310, L-val: 1.6625, Time: 11.303175
INFO:root:001: Acc-tr:  48.11, Acc-val:  55.10, L-tr: 1.4366, L-val: 1.2508, Time: 23.394960
INFO:root:002: Acc-tr:  60.23, Acc-val:  63.82, L-tr: 1.1312, L-val: 1.0493, Time: 34.306760
INFO:root:003: Acc-tr:  66.57, Acc-val:  66.74, L-tr: 0.9622, L-val: 0.9680, Time: 45.085522
INFO:root:004: Acc-tr:  71.43, Acc-val:  68.72, L-tr: 0.8255, L-val: 0.9258, Time: 56.048997
INFO:root:005: Acc-tr:  73.27, Acc-val:  70.70, L-tr: 0.7722, L-val: 0.8605, Time: 66.970661
INFO:root:006: Acc-tr:  75.78, Acc-val:  68.17, L-tr: 0.7000, L-val: 0.9708, Time: 77.638121
INFO:root:007: Acc-tr:  78.21, Acc-val:  72.01, L-tr: 0.6265, L-val: 0.8697, Time: 88.326915
INFO:root:008: Acc-tr:  80.12, Acc-val:  71.71, L-tr: 0.5686, L-val: 0.8622, Time: 99.002900
INFO:root:009: Acc-tr:  81.85, Acc-val:  74.32, L-tr: 0.5151, L-val: 0.8249, Time: 109.636392
INFO:root:010: Acc-tr:  83.80, Acc-val:  73.96, L-tr: 0.4609, L-val: 0.9006, Time: 120.306855
INFO:root:011: Acc-tr:  84.49, Acc-val:  73.42, L-tr: 0.4367, L-val: 0.9045, Time: 131.067932
INFO:root:012: Acc-tr:  86.20, Acc-val:  74.26, L-tr: 0.3906, L-val: 0.9276, Time: 141.904306
INFO:root:013: Acc-tr:  87.39, Acc-val:  73.31, L-tr: 0.3574, L-val: 1.0122, Time: 152.710894
INFO:root:014: Acc-tr:  87.90, Acc-val:  72.65, L-tr: 0.3435, L-val: 0.9850, Time: 163.649773
INFO:root:015: Acc-tr:  88.52, Acc-val:  72.89, L-tr: 0.3248, L-val: 1.0380, Time: 174.446537
INFO:root:016: Acc-tr:  89.53, Acc-val:  72.91, L-tr: 0.2957, L-val: 1.0646, Time: 185.313994
INFO:root:017: Acc-tr:  90.24, Acc-val:  73.36, L-tr: 0.2832, L-val: 1.1352, Time: 196.206484
INFO:root:018: Acc-tr:  91.58, Acc-val:  72.74, L-tr: 0.2417, L-val: 1.2314, Time: 207.041011
INFO:root:019: Acc-tr:  91.74, Acc-val:  72.06, L-tr: 0.2364, L-val: 1.2618, Time: 217.828833
INFO:root:020: Acc-tr:  92.07, Acc-val:  72.74, L-tr: 0.2342, L-val: 1.1491, Time: 228.683213
INFO:root:021: Acc-tr:  92.18, Acc-val:  72.33, L-tr: 0.2278, L-val: 1.2915, Time: 239.568224
INFO:root:022: Acc-tr:  93.03, Acc-val:  72.99, L-tr: 0.2060, L-val: 1.3655, Time: 250.218519
