INFO:root:000: Acc-tr:  10.87, Acc-val:  10.00, L-tr: 2.2909, L-val: 2.3028
INFO:root:001: Acc-tr:   9.84, Acc-val:  10.00, L-tr: 2.3028, L-val: 2.3028
INFO:root:002: Acc-tr:   9.75, Acc-val:  10.00, L-tr: 2.3028, L-val: 2.3027
INFO:root:003: Acc-tr:   9.78, Acc-val:  10.00, L-tr: 2.3027, L-val: 2.3027
INFO:root:004: Acc-tr:   9.90, Acc-val:  10.00, L-tr: 2.3028, L-val: 2.3027
INFO:root:005: Acc-tr:   9.89, Acc-val:  10.00, L-tr: 2.3027, L-val: 2.3027
INFO:root:006: Acc-tr:  10.14, Acc-val:  10.00, L-tr: 2.3027, L-val: 2.3027
INFO:root:007: Acc-tr:  10.06, Acc-val:  10.00, L-tr: 2.3027, L-val: 2.3027
INFO:root:008: Acc-tr:   9.95, Acc-val:  10.00, L-tr: 2.3027, L-val: 2.3026
INFO:root:009: Acc-tr:   9.96, Acc-val:  10.00, L-tr: 2.3027, L-val: 2.3027
INFO:root:010: Acc-tr:   9.78, Acc-val:  10.00, L-tr: 2.3027, L-val: 2.3027
INFO:root:011: Acc-tr:   9.83, Acc-val:  10.00, L-tr: 2.3027, L-val: 2.3026
INFO:root:012: Acc-tr:   9.97, Acc-val:  10.00, L-tr: 2.3027, L-val: 2.3027
