000: Acc-tr:  39.69, Acc-val:  50.23, L-tr: 1.7015, L-val: 1.3631
Epoch 0 Finished.  Time per Epoch:  17.18 s 
001: Acc-tr:  60.95, Acc-val:  63.74, L-tr: 1.0902, L-val: 1.0230
Epoch 1 Finished.  Time per Epoch:  16.08 s 
002: Acc-tr:  70.10, Acc-val:  67.84, L-tr: 0.8454, L-val: 0.9516
Epoch 2 Finished.  Time per Epoch:  15.80 s 
003: Acc-tr:  75.57, Acc-val:  69.82, L-tr: 0.6994, L-val: 0.9182
Epoch 3 Finished.  Time per Epoch:  15.58 s 
004: Acc-tr:  79.00, Acc-val:  69.98, L-tr: 0.6022, L-val: 0.8813
Epoch 4 Finished.  Time per Epoch:  15.57 s 
005: Acc-tr:  81.25, Acc-val:  73.39, L-tr: 0.5333, L-val: 0.8005
Epoch 5 Finished.  Time per Epoch:  15.49 s 
006: Acc-tr:  84.02, Acc-val:  79.67, L-tr: 0.4586, L-val: 0.6003
Epoch 6 Finished.  Time per Epoch:  15.46 s 
007: Acc-tr:  85.57, Acc-val:  79.35, L-tr: 0.4127, L-val: 0.6183
Epoch 7 Finished.  Time per Epoch:  15.37 s 
008: Acc-tr:  86.83, Acc-val:  76.71, L-tr: 0.3741, L-val: 0.7242
Epoch 8 Finished.  Time per Epoch:  15.40 s 
009: Acc-tr:  87.73, Acc-val:  80.17, L-tr: 0.3482, L-val: 0.6252
Epoch 9 Finished.  Time per Epoch:  15.36 s 
010: Acc-tr:  89.34, Acc-val:  80.94, L-tr: 0.3018, L-val: 0.6081
Epoch 10 Finished.  Time per Epoch:  15.36 s 
011: Acc-tr:  90.19, Acc-val:  80.50, L-tr: 0.2798, L-val: 0.6251
Epoch 11 Finished.  Time per Epoch:  15.34 s 
012: Acc-tr:  91.29, Acc-val:  81.53, L-tr: 0.2515, L-val: 0.5965
Epoch 12 Finished.  Time per Epoch:  15.33 s 
013: Acc-tr:  92.36, Acc-val:  81.35, L-tr: 0.2164, L-val: 0.5942
Epoch 13 Finished.  Time per Epoch:  15.33 s 
014: Acc-tr:  92.84, Acc-val:  78.95, L-tr: 0.2038, L-val: 0.7370
Epoch 14 Finished.  Time per Epoch:  15.32 s 
015: Acc-tr:  93.67, Acc-val:  81.79, L-tr: 0.1789, L-val: 0.6409
Epoch 15 Finished.  Time per Epoch:  15.31 s 
016: Acc-tr:  94.08, Acc-val:  82.35, L-tr: 0.1682, L-val: 0.6452
Epoch 16 Finished.  Time per Epoch:  15.32 s 
017: Acc-tr:  94.84, Acc-val:  81.49, L-tr: 0.1463, L-val: 0.6820
Epoch 17 Finished.  Time per Epoch:  15.33 s 
018: Acc-tr:  94.98, Acc-val:  82.88, L-tr: 0.1408, L-val: 0.5991
Epoch 18 Finished.  Time per Epoch:  15.32 s 
019: Acc-tr:  96.09, Acc-val:  84.44, L-tr: 0.1132, L-val: 0.5255
Epoch 19 Finished.  Time per Epoch:  15.31 s 
020: Acc-tr:  96.32, Acc-val:  82.86, L-tr: 0.1040, L-val: 0.6425
Epoch 20 Finished.  Time per Epoch:  15.30 s 
021: Acc-tr:  96.53, Acc-val:  82.56, L-tr: 0.0984, L-val: 0.7041
Epoch 21 Finished.  Time per Epoch:  15.30 s 
022: Acc-tr:  97.02, Acc-val:  83.34, L-tr: 0.0848, L-val: 0.6914
Epoch 22 Finished.  Time per Epoch:  15.29 s 
023: Acc-tr:  97.16, Acc-val:  84.13, L-tr: 0.0807, L-val: 0.6433
Epoch 23 Finished.  Time per Epoch:  15.28 s 
024: Acc-tr:  97.06, Acc-val:  82.66, L-tr: 0.0840, L-val: 0.7119
Epoch 24 Finished.  Time per Epoch:  15.29 s 
025: Acc-tr:  97.27, Acc-val:  85.80, L-tr: 0.0775, L-val: 0.5789
Epoch 25 Finished.  Time per Epoch:  15.28 s 
026: Acc-tr:  97.91, Acc-val:  85.13, L-tr: 0.0601, L-val: 0.6385
Epoch 26 Finished.  Time per Epoch:  15.28 s 
027: Acc-tr:  97.88, Acc-val:  82.77, L-tr: 0.0592, L-val: 0.7839
Epoch 27 Finished.  Time per Epoch:  15.26 s 
028: Acc-tr:  98.07, Acc-val:  84.22, L-tr: 0.0553, L-val: 0.6720
Epoch 28 Finished.  Time per Epoch:  15.27 s 
029: Acc-tr:  98.33, Acc-val:  84.47, L-tr: 0.0489, L-val: 0.6662
Epoch 29 Finished.  Time per Epoch:  15.26 s 
030: Acc-tr:  98.48, Acc-val:  84.71, L-tr: 0.0456, L-val: 0.6480
Epoch 30 Finished.  Time per Epoch:  15.26 s 
