INFO:root:000: Acc-tr:  37.70, Acc-val:  48.18, L-tr: 1.7195, L-val: 1.4546
INFO:root:001: Acc-tr:  55.32, Acc-val:  60.74, L-tr: 1.2437, L-val: 1.1240
INFO:root:002: Acc-tr:  64.70, Acc-val:  65.08, L-tr: 1.0037, L-val: 0.9941
INFO:root:003: Acc-tr:  70.03, Acc-val:  68.96, L-tr: 0.8573, L-val: 0.8899
INFO:root:004: Acc-tr:  74.17, Acc-val:  71.62, L-tr: 0.7424, L-val: 0.8225
INFO:root:005: Acc-tr:  77.99, Acc-val:  72.42, L-tr: 0.6344, L-val: 0.8095
INFO:root:006: Acc-tr:  80.87, Acc-val:  73.83, L-tr: 0.5515, L-val: 0.7606
INFO:root:007: Acc-tr:  83.99, Acc-val:  74.43, L-tr: 0.4644, L-val: 0.7443
INFO:root:008: Acc-tr:  86.23, Acc-val:  76.13, L-tr: 0.3938, L-val: 0.7598
INFO:root:009: Acc-tr:  89.75, Acc-val:  75.69, L-tr: 0.2987, L-val: 0.7934
INFO:root:010: Acc-tr:  92.28, Acc-val:  76.93, L-tr: 0.2239, L-val: 0.8142
INFO:root:011: Acc-tr:  94.38, Acc-val:  76.94, L-tr: 0.1666, L-val: 0.8795
INFO:root:012: Acc-tr:  95.52, Acc-val:  75.99, L-tr: 0.1314, L-val: 0.9729
INFO:root:013: Acc-tr:  96.75, Acc-val:  76.93, L-tr: 0.0977, L-val: 0.9928
INFO:root:014: Acc-tr:  98.33, Acc-val:  77.24, L-tr: 0.0551, L-val: 1.0751
INFO:root:015: Acc-tr:  98.99, Acc-val:  76.78, L-tr: 0.0343, L-val: 1.2126
INFO:root:016: Acc-tr:  99.08, Acc-val:  77.36, L-tr: 0.0308, L-val: 1.1607
INFO:root:017: Acc-tr:  99.41, Acc-val:  77.42, L-tr: 0.0207, L-val: 1.2441
INFO:root:018: Acc-tr:  99.80, Acc-val:  78.20, L-tr: 0.0095, L-val: 1.2331
INFO:root:019: Acc-tr:  99.98, Acc-val:  78.93, L-tr: 0.0023, L-val: 1.2706
INFO:root:020: Acc-tr: 100.00, Acc-val:  79.12, L-tr: 0.0009, L-val: 1.2998
INFO:root:021: Acc-tr: 100.00, Acc-val:  79.17, L-tr: 0.0005, L-val: 1.3231
INFO:root:022: Acc-tr: 100.00, Acc-val:  79.17, L-tr: 0.0004, L-val: 1.3401
INFO:root:023: Acc-tr: 100.00, Acc-val:  79.05, L-tr: 0.0004, L-val: 1.3502
INFO:root:024: Acc-tr: 100.00, Acc-val:  79.03, L-tr: 0.0004, L-val: 1.3557
INFO:root:025: Acc-tr: 100.00, Acc-val:  79.13, L-tr: 0.0003, L-val: 1.3612
INFO:root:026: Acc-tr: 100.00, Acc-val:  79.08, L-tr: 0.0003, L-val: 1.3651
