INFO:root:000: Acc-tr:  17.74, Acc-val:  24.04, L-tr: 2.1632, L-val: 2.0081
INFO:root:001: Acc-tr:  25.16, Acc-val:  27.03, L-tr: 1.9746, L-val: 1.9234
INFO:root:002: Acc-tr:  28.59, Acc-val:  30.02, L-tr: 1.9018, L-val: 1.8631
INFO:root:003: Acc-tr:  31.30, Acc-val:  31.99, L-tr: 1.8364, L-val: 1.8055
INFO:root:004: Acc-tr:  34.49, Acc-val:  36.84, L-tr: 1.7612, L-val: 1.7065
INFO:root:005: Acc-tr:  38.08, Acc-val:  37.91, L-tr: 1.6660, L-val: 1.6651
INFO:root:006: Acc-tr:  41.76, Acc-val:  43.52, L-tr: 1.5790, L-val: 1.5435
INFO:root:007: Acc-tr:  45.53, Acc-val:  45.73, L-tr: 1.4845, L-val: 1.4876
INFO:root:008: Acc-tr:  48.25, Acc-val:  45.03, L-tr: 1.4074, L-val: 1.5188
INFO:root:009: Acc-tr:  50.78, Acc-val:  48.30, L-tr: 1.3448, L-val: 1.4342
INFO:root:010: Acc-tr:  53.72, Acc-val:  49.52, L-tr: 1.2658, L-val: 1.4287
INFO:root:011: Acc-tr:  55.79, Acc-val:  48.73, L-tr: 1.2097, L-val: 1.4896
INFO:root:012: Acc-tr:  58.48, Acc-val:  49.51, L-tr: 1.1372, L-val: 1.4679
INFO:root:013: Acc-tr:  61.17, Acc-val:  48.96, L-tr: 1.0566, L-val: 1.4948
INFO:root:014: Acc-tr:  63.41, Acc-val:  50.44, L-tr: 0.9847, L-val: 1.4614
INFO:root:015: Acc-tr:  66.30, Acc-val:  46.25, L-tr: 0.9087, L-val: 1.7053
INFO:root:016: Acc-tr:  68.82, Acc-val:  46.15, L-tr: 0.8399, L-val: 1.8503
INFO:root:017: Acc-tr:  70.78, Acc-val:  49.06, L-tr: 0.7813, L-val: 1.7275
INFO:root:018: Acc-tr:  72.73, Acc-val:  46.51, L-tr: 0.7352, L-val: 1.7863
INFO:root:019: Acc-tr:  76.06, Acc-val:  48.41, L-tr: 0.6484, L-val: 2.0031
INFO:root:020: Acc-tr:  78.81, Acc-val:  47.34, L-tr: 0.5755, L-val: 1.9902
INFO:root:021: Acc-tr:  80.75, Acc-val:  46.75, L-tr: 0.5228, L-val: 2.1980
INFO:root:022: Acc-tr:  81.78, Acc-val:  47.96, L-tr: 0.4944, L-val: 2.2252
INFO:root:023: Acc-tr:  84.79, Acc-val:  49.47, L-tr: 0.4162, L-val: 2.2961
INFO:root:024: Acc-tr:  85.60, Acc-val:  47.89, L-tr: 0.3926, L-val: 2.4805
INFO:root:025: Acc-tr:  87.31, Acc-val:  47.58, L-tr: 0.3487, L-val: 2.6484
INFO:root:026: Acc-tr:  88.18, Acc-val:  45.96, L-tr: 0.3276, L-val: 2.7096
INFO:root:027: Acc-tr:  89.57, Acc-val:  49.72, L-tr: 0.2907, L-val: 2.7015
INFO:root:028: Acc-tr:  91.12, Acc-val:  48.40, L-tr: 0.2492, L-val: 2.9985
