INFO:root:Number of parameters: 4230654
INFO:root:000: Acc-tr:  24.61, Acc-val:  36.67, L-tr: 2.0190, L-val: 1.6832
INFO:root:001: Acc-tr:  46.29, Acc-val:  54.01, L-tr: 1.4751, L-val: 1.3122
INFO:root:002: Acc-tr:  59.15, Acc-val:  61.19, L-tr: 1.1642, L-val: 1.0990
INFO:root:003: Acc-tr:  65.52, Acc-val:  65.28, L-tr: 0.9811, L-val: 0.9959
INFO:root:004: Acc-tr:  69.13, Acc-val:  69.95, L-tr: 0.8865, L-val: 0.8901
INFO:root:005: Acc-tr:  72.72, Acc-val:  71.01, L-tr: 0.7879, L-val: 0.8629
INFO:root:006: Acc-tr:  74.49, Acc-val:  72.55, L-tr: 0.7381, L-val: 0.8138
INFO:root:007: Acc-tr:  76.36, Acc-val:  74.40, L-tr: 0.6869, L-val: 0.7534
INFO:root:008: Acc-tr:  77.37, Acc-val:  73.34, L-tr: 0.6568, L-val: 0.8033
INFO:root:009: Acc-tr:  78.76, Acc-val:  74.97, L-tr: 0.6134, L-val: 0.7362
INFO:root:010: Acc-tr:  80.14, Acc-val:  75.52, L-tr: 0.5765, L-val: 0.7516
INFO:root:011: Acc-tr:  80.94, Acc-val:  75.50, L-tr: 0.5476, L-val: 0.7338
INFO:root:012: Acc-tr:  82.57, Acc-val:  77.32, L-tr: 0.4988, L-val: 0.7126
INFO:root:013: Acc-tr:  82.09, Acc-val:  77.12, L-tr: 0.5149, L-val: 0.7328
INFO:root:014: Acc-tr:  83.29, Acc-val:  75.53, L-tr: 0.4789, L-val: 0.7712
INFO:root:015: Acc-tr:  83.95, Acc-val:  76.56, L-tr: 0.4612, L-val: 0.7704
INFO:root:016: Acc-tr:  84.48, Acc-val:  75.73, L-tr: 0.4482, L-val: 0.7799
INFO:root:017: Acc-tr:  85.53, Acc-val:  76.50, L-tr: 0.4186, L-val: 0.7966
INFO:root:018: Acc-tr:  86.37, Acc-val:  76.46, L-tr: 0.3937, L-val: 0.8015
INFO:root:019: Acc-tr:  86.50, Acc-val:  77.01, L-tr: 0.3914, L-val: 0.7798
INFO:root:020: Acc-tr:  87.39, Acc-val:  75.77, L-tr: 0.3658, L-val: 0.8316
INFO:root:021: Acc-tr:  87.78, Acc-val:  75.77, L-tr: 0.3527, L-val: 0.8332
INFO:root:022: Acc-tr:  87.44, Acc-val:  76.90, L-tr: 0.3586, L-val: 0.8492
INFO:root:023: Acc-tr:  88.25, Acc-val:  76.76, L-tr: 0.3395, L-val: 0.8222
INFO:root:024: Acc-tr:  89.07, Acc-val:  76.59, L-tr: 0.3155, L-val: 0.9077
INFO:root:025: Acc-tr:  89.33, Acc-val:  77.32, L-tr: 0.3094, L-val: 0.8854
INFO:root:026: Acc-tr:  90.25, Acc-val:  77.17, L-tr: 0.2872, L-val: 0.9148
INFO:root:027: Acc-tr:  89.81, Acc-val:  76.37, L-tr: 0.2929, L-val: 0.9484
INFO:root:028: Acc-tr:  89.87, Acc-val:  75.97, L-tr: 0.2907, L-val: 0.9458
INFO:root:029: Acc-tr:  90.47, Acc-val:  76.20, L-tr: 0.2801, L-val: 0.9713
INFO:root:030: Acc-tr:  90.83, Acc-val:  77.14, L-tr: 0.2689, L-val: 0.9094
INFO:root:031: Acc-tr:  91.21, Acc-val:  77.46, L-tr: 0.2578, L-val: 0.9260
INFO:root:032: Acc-tr:  90.84, Acc-val:  76.70, L-tr: 0.2699, L-val: 0.9570
INFO:root:033: Acc-tr:  92.23, Acc-val:  76.55, L-tr: 0.2263, L-val: 1.0115
INFO:root:034: Acc-tr:  92.28, Acc-val:  76.83, L-tr: 0.2263, L-val: 0.9789
INFO:root:035: Acc-tr:  91.35, Acc-val:  76.68, L-tr: 0.2569, L-val: 0.9644
INFO:root:036: Acc-tr:  92.05, Acc-val:  76.64, L-tr: 0.2343, L-val: 0.9709
INFO:root:037: Acc-tr:  92.69, Acc-val:  76.79, L-tr: 0.2154, L-val: 1.0994
INFO:root:038: Acc-tr:  92.50, Acc-val:  76.59, L-tr: 0.2258, L-val: 1.0878
INFO:root:039: Acc-tr:  92.47, Acc-val:  77.28, L-tr: 0.2257, L-val: 1.1157
INFO:root:040: Acc-tr:  92.69, Acc-val:  76.38, L-tr: 0.2200, L-val: 1.1747
INFO:root:041: Acc-tr:  93.06, Acc-val:  76.91, L-tr: 0.2082, L-val: 1.1073
INFO:root:042: Acc-tr:  93.58, Acc-val:  77.03, L-tr: 0.1945, L-val: 1.1288
