INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  31.19, Acc-val:  42.56, L-tr: 1.8321, L-val: 1.5515
INFO:root:001: Acc-tr:  50.04, Acc-val:  38.49, L-tr: 1.3662, L-val: 1.9732
INFO:root:002: Acc-tr:  58.65, Acc-val:  53.29, L-tr: 1.1414, L-val: 1.3840
INFO:root:003: Acc-tr:  64.40, Acc-val:  62.68, L-tr: 0.9978, L-val: 1.0628
INFO:root:004: Acc-tr:  68.27, Acc-val:  67.77, L-tr: 0.8917, L-val: 0.9272
INFO:root:005: Acc-tr:  71.47, Acc-val:  63.18, L-tr: 0.8067, L-val: 1.0487
INFO:root:006: Acc-tr:  73.45, Acc-val:  64.47, L-tr: 0.7543, L-val: 1.0495
INFO:root:007: Acc-tr:  75.49, Acc-val:  67.57, L-tr: 0.6932, L-val: 0.9511
INFO:root:008: Acc-tr:  76.70, Acc-val:  64.22, L-tr: 0.6660, L-val: 1.0884
INFO:root:009: Acc-tr:  78.04, Acc-val:  68.94, L-tr: 0.6240, L-val: 0.9057
INFO:root:010: Acc-tr:  79.29, Acc-val:  73.57, L-tr: 0.5942, L-val: 0.7758
INFO:root:011: Acc-tr:  79.72, Acc-val:  56.41, L-tr: 0.5747, L-val: 1.6427
INFO:root:012: Acc-tr:  81.01, Acc-val:  70.97, L-tr: 0.5444, L-val: 0.9222
INFO:root:013: Acc-tr:  81.47, Acc-val:  74.30, L-tr: 0.5276, L-val: 0.7539
INFO:root:014: Acc-tr:  82.52, Acc-val:  76.36, L-tr: 0.5002, L-val: 0.7020
INFO:root:015: Acc-tr:  82.58, Acc-val:  77.71, L-tr: 0.4967, L-val: 0.6602
INFO:root:016: Acc-tr:  83.54, Acc-val:  73.03, L-tr: 0.4761, L-val: 0.8282
INFO:root:017: Acc-tr:  83.89, Acc-val:  77.76, L-tr: 0.4608, L-val: 0.6713
INFO:root:018: Acc-tr:  84.50, Acc-val:  76.71, L-tr: 0.4415, L-val: 0.7173
INFO:root:019: Acc-tr:  84.94, Acc-val:  75.84, L-tr: 0.4307, L-val: 0.7499
INFO:root:020: Acc-tr:  85.18, Acc-val:  78.14, L-tr: 0.4241, L-val: 0.6521
INFO:root:021: Acc-tr:  85.59, Acc-val:  75.67, L-tr: 0.4111, L-val: 0.7507
INFO:root:022: Acc-tr:  85.82, Acc-val:  77.18, L-tr: 0.4038, L-val: 0.6844
INFO:root:023: Acc-tr:  86.35, Acc-val:  78.50, L-tr: 0.3940, L-val: 0.6562
INFO:root:024: Acc-tr:  86.68, Acc-val:  80.39, L-tr: 0.3826, L-val: 0.5938
INFO:root:025: Acc-tr:  87.12, Acc-val:  78.25, L-tr: 0.3705, L-val: 0.6479
INFO:root:026: Acc-tr:  87.33, Acc-val:  77.99, L-tr: 0.3617, L-val: 0.6671
INFO:root:027: Acc-tr:  87.47, Acc-val:  78.57, L-tr: 0.3572, L-val: 0.6510
INFO:root:028: Acc-tr:  87.78, Acc-val:  81.44, L-tr: 0.3484, L-val: 0.5683
INFO:root:029: Acc-tr:  87.73, Acc-val:  77.91, L-tr: 0.3475, L-val: 0.7281
INFO:root:030: Acc-tr:  88.18, Acc-val:  79.82, L-tr: 0.3396, L-val: 0.6307
INFO:root:031: Acc-tr:  88.28, Acc-val:  80.71, L-tr: 0.3336, L-val: 0.5980
INFO:root:032: Acc-tr:  88.46, Acc-val:  76.06, L-tr: 0.3277, L-val: 0.7985
INFO:root:033: Acc-tr:  88.63, Acc-val:  75.82, L-tr: 0.3263, L-val: 0.7945
INFO:root:034: Acc-tr:  89.07, Acc-val:  76.01, L-tr: 0.3131, L-val: 0.8092
INFO:root:035: Acc-tr:  89.24, Acc-val:  81.73, L-tr: 0.3054, L-val: 0.5938
INFO:root:036: Acc-tr:  89.28, Acc-val:  78.94, L-tr: 0.3076, L-val: 0.6641
INFO:root:037: Acc-tr:  89.70, Acc-val:  81.11, L-tr: 0.2953, L-val: 0.6108
INFO:root:038: Acc-tr:  89.84, Acc-val:  79.29, L-tr: 0.2923, L-val: 0.7138
INFO:root:039: Acc-tr:  89.89, Acc-val:  80.70, L-tr: 0.2887, L-val: 0.6422
INFO:root:040: Acc-tr:  89.98, Acc-val:  80.80, L-tr: 0.2845, L-val: 0.6074
INFO:root:041: Acc-tr:  89.88, Acc-val:  79.34, L-tr: 0.2881, L-val: 0.6575
INFO:root:042: Acc-tr:  90.39, Acc-val:  80.26, L-tr: 0.2745, L-val: 0.6813
INFO:root:043: Acc-tr:  90.40, Acc-val:  81.21, L-tr: 0.2727, L-val: 0.6305
INFO:root:044: Acc-tr:  90.54, Acc-val:  79.24, L-tr: 0.2693, L-val: 0.6922
INFO:root:045: Acc-tr:  90.47, Acc-val:  82.68, L-tr: 0.2725, L-val: 0.5467
INFO:root:046: Acc-tr:  90.60, Acc-val:  79.69, L-tr: 0.2655, L-val: 0.6762
INFO:root:047: Acc-tr:  90.72, Acc-val:  81.51, L-tr: 0.2639, L-val: 0.5891
INFO:root:048: Acc-tr:  91.05, Acc-val:  79.27, L-tr: 0.2578, L-val: 0.7191
INFO:root:049: Acc-tr:  91.05, Acc-val:  79.25, L-tr: 0.2580, L-val: 0.7094
INFO:root:050: Acc-tr:  91.42, Acc-val:  82.07, L-tr: 0.2463, L-val: 0.6172
INFO:root:051: Acc-tr:  90.83, Acc-val:  81.98, L-tr: 0.2604, L-val: 0.5997
INFO:root:052: Acc-tr:  91.18, Acc-val:  79.12, L-tr: 0.2500, L-val: 0.7323
INFO:root:053: Acc-tr:  91.29, Acc-val:  82.15, L-tr: 0.2463, L-val: 0.6117
INFO:root:054: Acc-tr:  91.58, Acc-val:  82.19, L-tr: 0.2421, L-val: 0.5855
INFO:root:055: Acc-tr:  91.70, Acc-val:  80.78, L-tr: 0.2379, L-val: 0.6579
INFO:root:056: Acc-tr:  91.67, Acc-val:  82.53, L-tr: 0.2381, L-val: 0.5756
INFO:root:057: Acc-tr:  91.68, Acc-val:  78.91, L-tr: 0.2356, L-val: 0.7387
INFO:root:058: Acc-tr:  91.72, Acc-val:  82.02, L-tr: 0.2353, L-val: 0.6144
INFO:root:059: Acc-tr:  91.96, Acc-val:  81.21, L-tr: 0.2279, L-val: 0.6169
INFO:root:060: Acc-tr:  91.88, Acc-val:  80.19, L-tr: 0.2332, L-val: 0.6823
INFO:root:061: Acc-tr:  92.12, Acc-val:  80.13, L-tr: 0.2267, L-val: 0.6970
INFO:root:062: Acc-tr:  91.87, Acc-val:  81.00, L-tr: 0.2281, L-val: 0.6621
