WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING:matplotlib.image:Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
INFO:root:000: Acc-tr:  45.03, Acc-val:  50.95, L-tr: 1.5314, L-val: 1.4193
INFO:root:001: Acc-tr:  65.16, Acc-val:  59.89, L-tr: 0.9799, L-val: 1.1612
INFO:root:002: Acc-tr:  73.11, Acc-val:  68.05, L-tr: 0.7649, L-val: 0.9253
INFO:root:003: Acc-tr:  78.65, Acc-val:  69.14, L-tr: 0.6115, L-val: 0.9441
INFO:root:004: Acc-tr:  81.46, Acc-val:  79.17, L-tr: 0.5269, L-val: 0.6144
INFO:root:005: Acc-tr:  84.19, Acc-val:  78.42, L-tr: 0.4521, L-val: 0.6306
INFO:root:006: Acc-tr:  86.60, Acc-val:  77.82, L-tr: 0.3815, L-val: 0.6801
INFO:root:007: Acc-tr:  88.39, Acc-val:  77.79, L-tr: 0.3296, L-val: 0.7022
INFO:root:008: Acc-tr:  90.24, Acc-val:  76.24, L-tr: 0.2770, L-val: 0.8303
INFO:root:009: Acc-tr:  91.52, Acc-val:  80.15, L-tr: 0.2378, L-val: 0.6376
INFO:root:010: Acc-tr:  93.19, Acc-val:  80.45, L-tr: 0.1917, L-val: 0.6757
INFO:root:011: Acc-tr:  94.05, Acc-val:  81.12, L-tr: 0.1676, L-val: 0.7080
INFO:root:012: Acc-tr:  95.01, Acc-val:  81.42, L-tr: 0.1410, L-val: 0.6681
INFO:root:013: Acc-tr:  95.85, Acc-val:  79.42, L-tr: 0.1173, L-val: 0.7979
INFO:root:014: Acc-tr:  96.16, Acc-val:  82.24, L-tr: 0.1084, L-val: 0.6816
INFO:root:015: Acc-tr:  96.64, Acc-val:  81.52, L-tr: 0.0960, L-val: 0.7555
INFO:root:016: Acc-tr:  97.53, Acc-val:  79.60, L-tr: 0.0712, L-val: 0.9168
INFO:root:017: Acc-tr:  97.79, Acc-val:  82.00, L-tr: 0.0631, L-val: 0.8008
INFO:root:018: Acc-tr:  97.70, Acc-val:  82.09, L-tr: 0.0644, L-val: 0.8501
INFO:root:019: Acc-tr:  97.91, Acc-val:  81.37, L-tr: 0.0599, L-val: 0.8628
INFO:root:020: Acc-tr:  98.12, Acc-val:  80.84, L-tr: 0.0561, L-val: 0.8235
INFO:root:021: Acc-tr:  97.68, Acc-val:  80.95, L-tr: 0.0649, L-val: 0.8983
INFO:root:022: Acc-tr:  98.61, Acc-val:  83.22, L-tr: 0.0423, L-val: 0.7657
INFO:root:023: Acc-tr:  99.20, Acc-val:  81.93, L-tr: 0.0251, L-val: 0.8839
INFO:root:024: Acc-tr:  99.04, Acc-val:  83.59, L-tr: 0.0279, L-val: 0.7799
INFO:root:025: Acc-tr:  98.30, Acc-val:  81.47, L-tr: 0.0479, L-val: 0.9513
INFO:root:026: Acc-tr:  98.32, Acc-val:  80.37, L-tr: 0.0484, L-val: 1.0091
INFO:root:027: Acc-tr:  98.39, Acc-val:  82.36, L-tr: 0.0462, L-val: 0.8353
INFO:root:000: Acc-tr:  47.13, Acc-val:  54.93, L-tr: 1.4910, L-val: 1.3031
INFO:root:001: Acc-tr:  66.26, Acc-val:  64.90, L-tr: 0.9471, L-val: 0.9672
INFO:root:002: Acc-tr:  73.57, Acc-val:  69.96, L-tr: 0.7487, L-val: 0.8877
INFO:root:003: Acc-tr:  78.19, Acc-val:  75.85, L-tr: 0.6267, L-val: 0.7071
INFO:root:004: Acc-tr:  81.74, Acc-val:  75.69, L-tr: 0.5253, L-val: 0.7513
INFO:root:005: Acc-tr:  83.78, Acc-val:  76.95, L-tr: 0.4554, L-val: 0.7090
