INFO:root:000: Acc-tr:  47.13, Acc-val:  54.93, L-tr: 1.4910, L-val: 1.3031
INFO:root:001: Acc-tr:  66.26, Acc-val:  64.90, L-tr: 0.9471, L-val: 0.9672
INFO:root:002: Acc-tr:  73.57, Acc-val:  69.96, L-tr: 0.7487, L-val: 0.8877
INFO:root:003: Acc-tr:  78.19, Acc-val:  75.85, L-tr: 0.6267, L-val: 0.7071
INFO:root:004: Acc-tr:  81.74, Acc-val:  75.69, L-tr: 0.5253, L-val: 0.7513
INFO:root:005: Acc-tr:  83.78, Acc-val:  76.95, L-tr: 0.4554, L-val: 0.7090
INFO:root:006: Acc-tr:  86.28, Acc-val:  76.54, L-tr: 0.3902, L-val: 0.7380
INFO:root:007: Acc-tr:  88.32, Acc-val:  77.40, L-tr: 0.3330, L-val: 0.7160
INFO:root:008: Acc-tr:  89.87, Acc-val:  78.85, L-tr: 0.2857, L-val: 0.6660
INFO:root:009: Acc-tr:  91.53, Acc-val:  78.32, L-tr: 0.2390, L-val: 0.7595
INFO:root:010: Acc-tr:  92.67, Acc-val:  81.80, L-tr: 0.2033, L-val: 0.6218
INFO:root:011: Acc-tr:  93.99, Acc-val:  78.64, L-tr: 0.1662, L-val: 0.7791
INFO:root:012: Acc-tr:  95.20, Acc-val:  79.94, L-tr: 0.1350, L-val: 0.7472
INFO:root:013: Acc-tr:  95.79, Acc-val:  77.89, L-tr: 0.1171, L-val: 0.9202
INFO:root:014: Acc-tr:  96.70, Acc-val:  81.09, L-tr: 0.0925, L-val: 0.8092
INFO:root:015: Acc-tr:  96.55, Acc-val:  81.38, L-tr: 0.0954, L-val: 0.7960
INFO:root:016: Acc-tr:  97.03, Acc-val:  81.26, L-tr: 0.0833, L-val: 0.7654
INFO:root:017: Acc-tr:  97.55, Acc-val:  82.11, L-tr: 0.0702, L-val: 0.7624
INFO:root:018: Acc-tr:  97.52, Acc-val:  78.74, L-tr: 0.0685, L-val: 1.0183
INFO:root:019: Acc-tr:  98.03, Acc-val:  82.49, L-tr: 0.0587, L-val: 0.7441
INFO:root:020: Acc-tr:  98.25, Acc-val:  82.71, L-tr: 0.0515, L-val: 0.7790
INFO:root:021: Acc-tr:  97.79, Acc-val:  83.53, L-tr: 0.0642, L-val: 0.7558
INFO:root:022: Acc-tr:  98.48, Acc-val:  80.25, L-tr: 0.0427, L-val: 0.9097
INFO:root:023: Acc-tr:  98.86, Acc-val:  83.77, L-tr: 0.0351, L-val: 0.7686
INFO:root:024: Acc-tr:  99.05, Acc-val:  84.15, L-tr: 0.0284, L-val: 0.7433
INFO:root:025: Acc-tr:  98.85, Acc-val:  83.47, L-tr: 0.0338, L-val: 0.7346
INFO:root:026: Acc-tr:  98.11, Acc-val:  82.17, L-tr: 0.0540, L-val: 0.8035
INFO:root:027: Acc-tr:  98.28, Acc-val:  82.69, L-tr: 0.0496, L-val: 0.7699
INFO:root:028: Acc-tr:  99.01, Acc-val:  84.13, L-tr: 0.0301, L-val: 0.7546
INFO:root:029: Acc-tr:  99.06, Acc-val:  82.39, L-tr: 0.0292, L-val: 0.8346
INFO:root:030: Acc-tr:  98.78, Acc-val:  81.19, L-tr: 0.0357, L-val: 0.9631
INFO:root:031: Acc-tr:  98.61, Acc-val:  81.96, L-tr: 0.0412, L-val: 0.8832
INFO:root:032: Acc-tr:  98.70, Acc-val:  79.15, L-tr: 0.0381, L-val: 1.0792
INFO:root:033: Acc-tr:  98.81, Acc-val:  81.12, L-tr: 0.0351, L-val: 0.9316
INFO:root:034: Acc-tr:  98.32, Acc-val:  84.35, L-tr: 0.0498, L-val: 0.6961
INFO:root:035: Acc-tr:  98.86, Acc-val:  83.41, L-tr: 0.0338, L-val: 0.8115
INFO:root:036: Acc-tr:  99.10, Acc-val:  78.64, L-tr: 0.0286, L-val: 1.3422
INFO:root:037: Acc-tr:  98.84, Acc-val:  83.04, L-tr: 0.0338, L-val: 0.8004
INFO:root:038: Acc-tr:  99.02, Acc-val:  82.09, L-tr: 0.0292, L-val: 0.8811
INFO:root:039: Acc-tr:  98.91, Acc-val:  83.56, L-tr: 0.0325, L-val: 0.7951
INFO:root:040: Acc-tr:  98.21, Acc-val:  80.92, L-tr: 0.0502, L-val: 0.8750
INFO:root:041: Acc-tr:  99.01, Acc-val:  85.58, L-tr: 0.0289, L-val: 0.6690
INFO:root:042: Acc-tr:  99.51, Acc-val:  84.27, L-tr: 0.0161, L-val: 0.7571
INFO:root:043: Acc-tr:  99.77, Acc-val:  85.42, L-tr: 0.0080, L-val: 0.6968
INFO:root:044: Acc-tr:  99.87, Acc-val:  85.77, L-tr: 0.0058, L-val: 0.7111
INFO:root:045: Acc-tr:  99.96, Acc-val:  86.13, L-tr: 0.0026, L-val: 0.6696
INFO:root:046: Acc-tr: 100.00, Acc-val:  87.01, L-tr: 0.0008, L-val: 0.6324
INFO:root:047: Acc-tr: 100.00, Acc-val:  87.26, L-tr: 0.0004, L-val: 0.6124
INFO:root:048: Acc-tr: 100.00, Acc-val:  87.21, L-tr: 0.0003, L-val: 0.6057
