INFO:root:000: Acc-tr:  10.06, Acc-val:  10.00, L-tr: 2.3420, L-val: 2.3038
INFO:root:001: Acc-tr:  10.05, Acc-val:  10.03, L-tr: 2.3034, L-val: 2.3048
INFO:root:002: Acc-tr:  10.22, Acc-val:  10.10, L-tr: 2.3035, L-val: 2.3047
INFO:root:003: Acc-tr:   9.93, Acc-val:   8.93, L-tr: 2.3036, L-val: 2.3038
INFO:root:004: Acc-tr:  10.12, Acc-val:  10.00, L-tr: 2.3034, L-val: 2.3044
INFO:root:005: Acc-tr:   9.89, Acc-val:  10.11, L-tr: 2.3036, L-val: 2.3033
INFO:root:006: Acc-tr:   9.93, Acc-val:   9.63, L-tr: 2.3032, L-val: 2.3037
INFO:root:007: Acc-tr:  10.07, Acc-val:  10.04, L-tr: 2.3039, L-val: 2.3048
INFO:root:008: Acc-tr:  10.22, Acc-val:  10.08, L-tr: 2.3035, L-val: 2.3045
INFO:root:009: Acc-tr:  10.04, Acc-val:   8.37, L-tr: 2.3034, L-val: 2.3047
INFO:root:010: Acc-tr:  10.12, Acc-val:   9.11, L-tr: 2.3034, L-val: 2.3058
INFO:root:011: Acc-tr:  10.21, Acc-val:   9.17, L-tr: 2.3037, L-val: 2.3074
INFO:root:012: Acc-tr:  10.14, Acc-val:   8.50, L-tr: 2.3033, L-val: 2.3067
INFO:root:013: Acc-tr:  10.20, Acc-val:   8.40, L-tr: 2.3026, L-val: 2.3060
INFO:root:014: Acc-tr:  10.60, Acc-val:  12.00, L-tr: 2.3025, L-val: 2.3062
INFO:root:015: Acc-tr:  10.47, Acc-val:   8.78, L-tr: 2.3032, L-val: 2.3064
INFO:root:016: Acc-tr:  10.55, Acc-val:   9.69, L-tr: 2.3026, L-val: 2.3064
INFO:root:017: Acc-tr:  10.51, Acc-val:   6.67, L-tr: 2.3021, L-val: 2.3083
INFO:root:018: Acc-tr:  10.75, Acc-val:   9.09, L-tr: 2.3020, L-val: 2.3082
INFO:root:019: Acc-tr:  10.88, Acc-val:   8.84, L-tr: 2.3020, L-val: 2.3033
INFO:root:020: Acc-tr:  10.71, Acc-val:   8.22, L-tr: 2.3018, L-val: 2.3072
INFO:root:021: Acc-tr:  10.84, Acc-val:  10.03, L-tr: 2.3017, L-val: 2.3055
INFO:root:022: Acc-tr:  10.80, Acc-val:  11.32, L-tr: 2.3016, L-val: 2.3048
INFO:root:023: Acc-tr:  10.55, Acc-val:   8.37, L-tr: 2.3013, L-val: 2.3079
INFO:root:024: Acc-tr:  10.93, Acc-val:   8.88, L-tr: 2.3015, L-val: 2.3067
INFO:root:025: Acc-tr:  10.86, Acc-val:   9.88, L-tr: 2.3009, L-val: 2.3078
INFO:root:026: Acc-tr:  10.90, Acc-val:  10.63, L-tr: 2.3003, L-val: 2.3050
INFO:root:027: Acc-tr:  11.39, Acc-val:   7.46, L-tr: 2.3000, L-val: 2.3117
INFO:root:028: Acc-tr:  11.24, Acc-val:   9.09, L-tr: 2.2995, L-val: 2.3119
INFO:root:029: Acc-tr:  11.27, Acc-val:  11.64, L-tr: 2.2985, L-val: 2.3058
INFO:root:030: Acc-tr:  11.71, Acc-val:   8.48, L-tr: 2.2977, L-val: 2.3169
INFO:root:031: Acc-tr:  11.94, Acc-val:   8.87, L-tr: 2.2969, L-val: 2.3141
INFO:root:032: Acc-tr:  11.92, Acc-val:   8.05, L-tr: 2.2953, L-val: 2.3143
INFO:root:033: Acc-tr:  12.04, Acc-val:   9.65, L-tr: 2.2935, L-val: 2.3209
INFO:root:034: Acc-tr:  12.39, Acc-val:  10.74, L-tr: 2.2920, L-val: 2.3178
INFO:root:035: Acc-tr:  12.59, Acc-val:   8.09, L-tr: 2.2910, L-val: 2.3164
INFO:root:036: Acc-tr:  13.02, Acc-val:   9.31, L-tr: 2.2874, L-val: 2.3156
INFO:root:037: Acc-tr:  13.27, Acc-val:  10.35, L-tr: 2.2839, L-val: 2.3136
INFO:root:038: Acc-tr:  13.41, Acc-val:  11.41, L-tr: 2.2811, L-val: 2.3162
INFO:root:039: Acc-tr:  14.04, Acc-val:   8.80, L-tr: 2.2759, L-val: 2.3434
INFO:root:040: Acc-tr:  14.21, Acc-val:  10.49, L-tr: 2.2696, L-val: 2.3549
INFO:root:041: Acc-tr:  14.74, Acc-val:  10.97, L-tr: 2.2627, L-val: 2.3364
INFO:root:042: Acc-tr:  15.20, Acc-val:   9.74, L-tr: 2.2529, L-val: 2.3396
INFO:root:043: Acc-tr:  15.92, Acc-val:  10.13, L-tr: 2.2412, L-val: 2.3643
INFO:root:044: Acc-tr:  16.63, Acc-val:  10.68, L-tr: 2.2294, L-val: 2.3710
INFO:root:045: Acc-tr:  17.72, Acc-val:   8.90, L-tr: 2.2103, L-val: 2.4222
INFO:root:046: Acc-tr:  18.76, Acc-val:   9.72, L-tr: 2.1894, L-val: 2.4294
INFO:root:047: Acc-tr:  20.10, Acc-val:  10.48, L-tr: 2.1636, L-val: 2.4799
INFO:root:048: Acc-tr:  21.88, Acc-val:  10.19, L-tr: 2.1299, L-val: 2.4786
INFO:root:049: Acc-tr:  23.47, Acc-val:  10.41, L-tr: 2.0942, L-val: 2.5348
INFO:root:050: Acc-tr:  25.22, Acc-val:   9.64, L-tr: 2.0536, L-val: 2.6424
INFO:root:051: Acc-tr:  27.16, Acc-val:  10.21, L-tr: 2.0033, L-val: 2.5824
INFO:root:052: Acc-tr:  29.48, Acc-val:  10.72, L-tr: 1.9476, L-val: 2.7298
INFO:root:053: Acc-tr:  31.99, Acc-val:   8.55, L-tr: 1.8822, L-val: 2.9632
INFO:root:054: Acc-tr:  35.05, Acc-val:  10.19, L-tr: 1.8094, L-val: 3.1996
INFO:root:055: Acc-tr:  38.18, Acc-val:   9.32, L-tr: 1.7248, L-val: 3.1605
INFO:root:056: Acc-tr:  41.77, Acc-val:  10.00, L-tr: 1.6391, L-val: 3.3719
INFO:root:057: Acc-tr:  45.59, Acc-val:   9.53, L-tr: 1.5385, L-val: 3.2766
INFO:root:058: Acc-tr:  49.65, Acc-val:  10.02, L-tr: 1.4237, L-val: 3.5946
INFO:root:059: Acc-tr:  52.96, Acc-val:   8.92, L-tr: 1.3293, L-val: 4.0895
INFO:root:060: Acc-tr:  57.63, Acc-val:   9.50, L-tr: 1.2147, L-val: 3.7772
INFO:root:061: Acc-tr:  61.59, Acc-val:   9.61, L-tr: 1.1026, L-val: 4.2112
INFO:root:062: Acc-tr:  65.19, Acc-val:   9.93, L-tr: 1.0013, L-val: 4.0968
INFO:root:063: Acc-tr:  68.52, Acc-val:  10.36, L-tr: 0.9040, L-val: 4.6306
INFO:root:064: Acc-tr:  71.92, Acc-val:   8.55, L-tr: 0.8168, L-val: 5.6100
INFO:root:065: Acc-tr:  75.02, Acc-val:   9.28, L-tr: 0.7246, L-val: 5.4688
INFO:root:066: Acc-tr:  76.82, Acc-val:  10.06, L-tr: 0.6719, L-val: 5.5375
INFO:root:067: Acc-tr:  80.05, Acc-val:  10.28, L-tr: 0.5807, L-val: 5.1400
INFO:root:068: Acc-tr:  81.48, Acc-val:   9.02, L-tr: 0.5431, L-val: 6.0433
INFO:root:069: Acc-tr:  83.44, Acc-val:   9.95, L-tr: 0.4875, L-val: 5.8222
INFO:root:070: Acc-tr:  85.24, Acc-val:  10.16, L-tr: 0.4363, L-val: 6.3309
INFO:root:071: Acc-tr:  85.82, Acc-val:   9.40, L-tr: 0.4168, L-val: 6.6693
INFO:root:072: Acc-tr:  87.39, Acc-val:   9.65, L-tr: 0.3721, L-val: 6.9313
INFO:root:073: Acc-tr:  88.25, Acc-val:   9.48, L-tr: 0.3484, L-val: 7.0646
INFO:root:074: Acc-tr:  89.26, Acc-val:   9.94, L-tr: 0.3180, L-val: 6.9146
INFO:root:075: Acc-tr:  89.35, Acc-val:   9.80, L-tr: 0.3149, L-val: 6.6392
INFO:root:076: Acc-tr:  89.81, Acc-val:  10.02, L-tr: 0.3021, L-val: 7.0391
INFO:root:077: Acc-tr:  91.85, Acc-val:  10.74, L-tr: 0.2451, L-val: 8.2032
INFO:root:078: Acc-tr:  91.70, Acc-val:   9.39, L-tr: 0.2521, L-val: 7.2458
INFO:root:079: Acc-tr:  92.86, Acc-val:   9.53, L-tr: 0.2185, L-val: 7.7460
INFO:root:080: Acc-tr:  91.73, Acc-val:   9.71, L-tr: 0.2475, L-val: 7.8290
INFO:root:081: Acc-tr:  92.33, Acc-val:  10.50, L-tr: 0.2265, L-val: 7.1603
INFO:root:082: Acc-tr:  92.80, Acc-val:  10.06, L-tr: 0.2181, L-val: 7.1589
