INFO:root:000: Acc-tr:  25.34, Acc-val:  25.43, L-tr: 2.0533, L-val: 1.9794
INFO:root:001: Acc-tr:  31.83, Acc-val:  29.65, L-tr: 1.8066, L-val: 1.8614
INFO:root:002: Acc-tr:  36.87, Acc-val:  37.44, L-tr: 1.6917, L-val: 1.6978
INFO:root:003: Acc-tr:  41.23, Acc-val:  38.72, L-tr: 1.5984, L-val: 1.6565
INFO:root:004: Acc-tr:  45.56, Acc-val:  39.90, L-tr: 1.4952, L-val: 1.6335
INFO:root:005: Acc-tr:  48.49, Acc-val:  41.19, L-tr: 1.4188, L-val: 1.6506
INFO:root:006: Acc-tr:  51.10, Acc-val:  42.19, L-tr: 1.3524, L-val: 1.6226
INFO:root:007: Acc-tr:  54.22, Acc-val:  45.65, L-tr: 1.2710, L-val: 1.5116
INFO:root:008: Acc-tr:  56.36, Acc-val:  44.51, L-tr: 1.2085, L-val: 1.6010
INFO:root:009: Acc-tr:  58.80, Acc-val:  48.68, L-tr: 1.1431, L-val: 1.4351
INFO:root:010: Acc-tr:  60.79, Acc-val:  50.81, L-tr: 1.0872, L-val: 1.4272
INFO:root:011: Acc-tr:  62.85, Acc-val:  45.81, L-tr: 1.0275, L-val: 1.7450
INFO:root:012: Acc-tr:  65.39, Acc-val:  52.14, L-tr: 0.9590, L-val: 1.4473
INFO:root:013: Acc-tr:  67.63, Acc-val:  47.98, L-tr: 0.8967, L-val: 1.5380
INFO:root:014: Acc-tr:  69.93, Acc-val:  49.62, L-tr: 0.8318, L-val: 1.6517
INFO:root:015: Acc-tr:  71.66, Acc-val:  49.18, L-tr: 0.7756, L-val: 1.6826
INFO:root:016: Acc-tr:  74.02, Acc-val:  49.72, L-tr: 0.7146, L-val: 1.6010
INFO:root:017: Acc-tr:  75.72, Acc-val:  49.44, L-tr: 0.6685, L-val: 1.8699
INFO:root:018: Acc-tr:  77.66, Acc-val:  49.86, L-tr: 0.6127, L-val: 1.7538
INFO:root:019: Acc-tr:  79.89, Acc-val:  50.29, L-tr: 0.5538, L-val: 1.9854
INFO:root:020: Acc-tr:  81.78, Acc-val:  44.41, L-tr: 0.5004, L-val: 2.2320
INFO:root:021: Acc-tr:  83.39, Acc-val:  46.84, L-tr: 0.4552, L-val: 2.3138
INFO:root:022: Acc-tr:  84.68, Acc-val:  49.85, L-tr: 0.4195, L-val: 2.1604
INFO:root:023: Acc-tr:  86.38, Acc-val:  49.20, L-tr: 0.3776, L-val: 2.0885
INFO:root:024: Acc-tr:  87.44, Acc-val:  45.81, L-tr: 0.3472, L-val: 2.3937
INFO:root:025: Acc-tr:  88.53, Acc-val:  48.26, L-tr: 0.3203, L-val: 2.4915
INFO:root:026: Acc-tr:  89.90, Acc-val:  46.61, L-tr: 0.2815, L-val: 2.8442
INFO:root:027: Acc-tr:  90.56, Acc-val:  47.47, L-tr: 0.2620, L-val: 2.7203
INFO:root:028: Acc-tr:  90.54, Acc-val:  49.76, L-tr: 0.2611, L-val: 2.3859
INFO:root:029: Acc-tr:  91.92, Acc-val:  49.34, L-tr: 0.2255, L-val: 2.5847
INFO:root:030: Acc-tr:  91.99, Acc-val:  49.45, L-tr: 0.2230, L-val: 2.7695
INFO:root:031: Acc-tr:  92.91, Acc-val:  50.03, L-tr: 0.1971, L-val: 2.7290
INFO:root:032: Acc-tr:  93.04, Acc-val:  51.08, L-tr: 0.1920, L-val: 2.6401
INFO:root:033: Acc-tr:  93.65, Acc-val:  49.35, L-tr: 0.1772, L-val: 2.8813
INFO:root:034: Acc-tr:  94.16, Acc-val:  47.59, L-tr: 0.1638, L-val: 2.9533
INFO:root:035: Acc-tr:  94.13, Acc-val:  49.74, L-tr: 0.1661, L-val: 2.6928
INFO:root:036: Acc-tr:  94.18, Acc-val:  51.60, L-tr: 0.1648, L-val: 2.7145
INFO:root:037: Acc-tr:  94.71, Acc-val:  51.07, L-tr: 0.1499, L-val: 2.6987
INFO:root:038: Acc-tr:  94.99, Acc-val:  46.97, L-tr: 0.1415, L-val: 3.2145
INFO:root:039: Acc-tr:  94.63, Acc-val:  50.78, L-tr: 0.1531, L-val: 2.9926
INFO:root:040: Acc-tr:  95.48, Acc-val:  51.45, L-tr: 0.1309, L-val: 2.8069
INFO:root:041: Acc-tr:  95.54, Acc-val:  48.40, L-tr: 0.1260, L-val: 3.3589
INFO:root:042: Acc-tr:  95.14, Acc-val:  50.70, L-tr: 0.1379, L-val: 2.7335
INFO:root:043: Acc-tr:  95.50, Acc-val:  48.07, L-tr: 0.1259, L-val: 3.3229
INFO:root:044: Acc-tr:  95.89, Acc-val:  50.90, L-tr: 0.1168, L-val: 2.9328
INFO:root:045: Acc-tr:  95.67, Acc-val:  51.93, L-tr: 0.1238, L-val: 2.8279
INFO:root:046: Acc-tr:  95.84, Acc-val:  50.96, L-tr: 0.1211, L-val: 2.9884
INFO:root:047: Acc-tr:  95.94, Acc-val:  50.74, L-tr: 0.1164, L-val: 2.8417
INFO:root:048: Acc-tr:  95.86, Acc-val:  49.01, L-tr: 0.1166, L-val: 3.1573
INFO:root:049: Acc-tr:  95.98, Acc-val:  49.83, L-tr: 0.1134, L-val: 2.8898
INFO:root:050: Acc-tr:  96.26, Acc-val:  51.56, L-tr: 0.1086, L-val: 2.8460
INFO:root:051: Acc-tr:  95.30, Acc-val:  51.34, L-tr: 0.1323, L-val: 2.9347
INFO:root:052: Acc-tr:  96.11, Acc-val:  48.10, L-tr: 0.1101, L-val: 3.3224
INFO:root:053: Acc-tr:  96.17, Acc-val:  49.89, L-tr: 0.1057, L-val: 3.1697
INFO:root:054: Acc-tr:  96.33, Acc-val:  50.53, L-tr: 0.1046, L-val: 2.9870
INFO:root:055: Acc-tr:  96.23, Acc-val:  48.64, L-tr: 0.1083, L-val: 3.3721
INFO:root:056: Acc-tr:  96.05, Acc-val:  49.21, L-tr: 0.1145, L-val: 3.3778
INFO:root:057: Acc-tr:  96.47, Acc-val:  48.01, L-tr: 0.1007, L-val: 3.1201
INFO:root:058: Acc-tr:  96.49, Acc-val:  49.72, L-tr: 0.0995, L-val: 3.1549
INFO:root:059: Acc-tr:  96.13, Acc-val:  51.15, L-tr: 0.1117, L-val: 3.0149
INFO:root:060: Acc-tr:  96.57, Acc-val:  52.17, L-tr: 0.0982, L-val: 3.0769
INFO:root:061: Acc-tr:  96.43, Acc-val:  49.75, L-tr: 0.1030, L-val: 2.9836
INFO:root:062: Acc-tr:  96.19, Acc-val:  49.98, L-tr: 0.1072, L-val: 2.9060
INFO:root:063: Acc-tr:  96.27, Acc-val:  48.91, L-tr: 0.1064, L-val: 3.2901
INFO:root:064: Acc-tr:  96.47, Acc-val:  46.93, L-tr: 0.0986, L-val: 3.8623
INFO:root:065: Acc-tr:  96.15, Acc-val:  49.63, L-tr: 0.1117, L-val: 3.0544
INFO:root:066: Acc-tr:  96.59, Acc-val:  50.02, L-tr: 0.0958, L-val: 3.3535
INFO:root:067: Acc-tr:  96.45, Acc-val:  50.58, L-tr: 0.1000, L-val: 3.1005
INFO:root:068: Acc-tr:  96.85, Acc-val:  48.12, L-tr: 0.0902, L-val: 3.4389
INFO:root:069: Acc-tr:  95.96, Acc-val:  49.25, L-tr: 0.1150, L-val: 2.9964
INFO:root:070: Acc-tr:  96.35, Acc-val:  50.35, L-tr: 0.1053, L-val: 3.1045
INFO:root:071: Acc-tr:  96.82, Acc-val:  51.09, L-tr: 0.0925, L-val: 2.9207
INFO:root:072: Acc-tr:  96.63, Acc-val:  48.69, L-tr: 0.0958, L-val: 3.2289
INFO:root:073: Acc-tr:  96.01, Acc-val:  48.06, L-tr: 0.1127, L-val: 3.2299
INFO:root:074: Acc-tr:  96.49, Acc-val:  48.97, L-tr: 0.1002, L-val: 3.2037
INFO:root:075: Acc-tr:  96.09, Acc-val:  50.05, L-tr: 0.1113, L-val: 3.2670
INFO:root:076: Acc-tr:  96.90, Acc-val:  49.55, L-tr: 0.0901, L-val: 3.1068
INFO:root:077: Acc-tr:  96.43, Acc-val:  50.75, L-tr: 0.1024, L-val: 3.1179
INFO:root:078: Acc-tr:  96.25, Acc-val:  48.67, L-tr: 0.1064, L-val: 3.3922
INFO:root:079: Acc-tr:  97.13, Acc-val:  50.41, L-tr: 0.0839, L-val: 3.0852
INFO:root:080: Acc-tr:  96.48, Acc-val:  50.48, L-tr: 0.0971, L-val: 2.9507
INFO:root:081: Acc-tr:  96.41, Acc-val:  50.65, L-tr: 0.1012, L-val: 2.9878
INFO:root:082: Acc-tr:  96.62, Acc-val:  42.77, L-tr: 0.0957, L-val: 3.7314
INFO:root:083: Acc-tr:  96.38, Acc-val:  49.26, L-tr: 0.1031, L-val: 3.1125
INFO:root:084: Acc-tr:  97.03, Acc-val:  52.43, L-tr: 0.0861, L-val: 2.9332
INFO:root:085: Acc-tr:  96.88, Acc-val:  50.16, L-tr: 0.0892, L-val: 3.1547
INFO:root:086: Acc-tr:  95.87, Acc-val:  50.86, L-tr: 0.1170, L-val: 2.9234
INFO:root:087: Acc-tr:  96.65, Acc-val:  48.65, L-tr: 0.0960, L-val: 3.3339
INFO:root:088: Acc-tr:  96.90, Acc-val:  48.83, L-tr: 0.0892, L-val: 3.2925
INFO:root:089: Acc-tr:  96.37, Acc-val:  51.82, L-tr: 0.1034, L-val: 2.7700
INFO:root:090: Acc-tr:  97.04, Acc-val:  51.35, L-tr: 0.0843, L-val: 3.0011
INFO:root:091: Acc-tr:  96.27, Acc-val:  50.62, L-tr: 0.1056, L-val: 3.0171
